NEOC,Area,Distance,GFA,Elapsed Period,Std_Net_Area,Lease Ratio,Market_Vacancy,NOC,YN,Period,SD,MR,CAMF,E_Ratio,RF,FO,TI,E_MR,TI,FO+TI
162114,1,0,53100,6,623,0.082,0.168,348601,0,3,1509000,150900,49200,0.574009217,4,3,0,93055,0,0.6
144803,1,0,53100,6,623,0.019,0.169,338322,0,4,146500,146500,47700,0.574009217,4,4,500000,83118.35624,1.958352395,1.191670479
117349,1,167,15670,5,323,0.273,0.173,281682,1,4,1135000,113500,41500,0.550265182,4,4,400000,64573.3154,1.864326659,1.172865332
188304,2,165,20207,9,504,0.355,0.132,333334,0,2,1400000,140000,50000,0.569998802,2,4,0,107333.3333,0,0.8
111904,2,563,11901,10,208,0.012,0.132,275881,0,2,1180000,118000,42000,0.579959909,5,2,0,64900,0,0.4
118085,2,0,21851,1,609,0.05,0.097,261747,1,1,1040000,104000,42000,0.557789641,4,2,0,65866.66667,0,0.4
118085,2,0,21851,1,609,0.05,0.097,261747,1,1,1040000,104000,42000,0.557789641,4,2,0,65866.66667,0,0.4
89753,2,173,22764,42,644,0.039,0.167,208827,1,3,920000,92000,40000,0.632101966,4,3,0,56733.33333,0,0.6
89753,2,173,22764,42,644,0.045,0.167,208827,1,3,920000,92000,40000,0.632101966,4,3,0,56733.33333,0,0.6
84027,2,57,10173,19,322,0.056,0.097,198021,1,1,670000,67000,33000,0.504997774,4,2,0,42433.33333,0,0.4
99505,2,57,10173,19,322,0.023,0.097,198021,1,1,670000,67000,33000,0.504997774,3,0,0,50250,0,0
121756,3,389,8361,26,210,0.02,0.027,209088,1,1,820000,82000,33000,0.550006744,2,1,0,66966.66667,0,0.2
121756,3,389,8361,26,210,0.091,0.027,209088,1,1,820000,82000,33000,0.550006744,2,1,0,66966.66667,0,0.2
121756,3,389,8361,26,210,0.046,0.027,209088,1,1,820000,82000,33000,0.550006744,2,1,0,66966.66667,0,0.2
188159,3,141,33475,13,522,0.006,0.027,302087,0,1,1110000,110000,46000,0.51640702,1,2,0,97166.66667,0,0.4
87894,3,184,3861,6,189,0.191,0.038,176102,1,1,780000,78000,34000,0.635996327,3,2,0,55900,0,0.4
99987,3,119,16511,9,331,0.061,0.022,174892,0,2,500000,50000,36000,0.49173185,0,1,0,49166.66667,0,0.2
98292,3,119,16511,9,331,0.061,0.022,174892,0,2,3325000,50000,36000,0.49173185,0,2,0,48333.33333,0,0.4
131715,3,72,9887,24,234,0.042,0.026,263505,1,2,830000,83000,36000,0.451604814,3,2,0,59483.33333,0,0.4
122387,3,219,11248,23,282,0.035,0.026,240635,1,2,880000,88000,36000,0.515303274,3,2,0,63066.66667,0,0.4
122627,3,278,12513,35,325,0.121,0.026,223277,0,2,900000,90000,37000,0.5688,2.5,1,0,69750,0,0.2
98292,3,119,16511,9,331,0.171,0.056,174892,0,2,500000,50000,36000,0.49173185,0,2,0,48333.33333,0,0.4
98292,3,119,16511,9,331,0.171,0.056,174892,0,2,3325000,50000,36000,0.49173185,0,2,0,48333.33333,0,0.4
130685,3,43,9050,21,214,0.254,0.077,272528,1,3,870000,87000,40000,0.466006744,3,3,0,60900,0,0.6
131715,3,72,9887,24,234,0.159,0.077,263505,1,3,830000,83000,36000,0.451604814,3,2,0,59483.33333,0,0.4
131715,3,72,9887,24,234,0.159,0.077,263505,1,3,830000,83000,36000,0.451604814,3,2,0,59483.33333,0,0.4
108114,3,740,3896,12,105,0.051,0.079,198000,1,4,800000,80000,25000,0.53030303,3.2,1,0,57333.33333,0,0.2
113649,3,137,4161,0,170,0.284,0.027,171607,1,1,720000,72000,34000,0.617690882,0,1.5,0,70200,0,0.3
118381,3,147,6248,9,246,0.065,0.027,209473,0,1,770000,77000,32000,0.520354649,2,2,0,61600,0,0.4
121923,3,0,32650,31,515,0.013,0.027,208222,0,1,979700,81600,41500,0.591195187,1,2,0,72080,0,0.4
220767,3,0,31525,4,535,0.016,0.027,348183,1,1,1380000,138000,47000,0.531329933,1.8,0,0,117300,0,0
220767,3,0,31525,4,535,0.009,0.027,348183,1,1,1380000,138000,47000,0.531329933,1.8,0,0,117300,0,0
220767,3,0,31525,4,535,0.007,0.027,348183,1,1,1380000,138000,47000,0.531329933,1.8,0,0,117300,0,0
233753,3,0,31525,4,535,0.006,0.027,348183,1,1,1380000,138000,47000,0.531329933,1,1,0,124200,0,0.2
194794,3,0,31525,4,535,0.032,0.027,348183,1,1,1380000,138000,47000,0.531329933,3,0,0,103500,0,0
101212,3,447,10629,30,293,0.03,0.022,189605,0,2,650000,70000,36000,0.559057118,2,1.5,0,56583.33333,0,0.3
147358,3,203,13710,28,361,0.033,0.026,255302,0,2,940000,94000,39000,0.520952157,2,1,0,76766.66667,0,0.2
226099,3,0,31525,4,535,0.032,0.026,342537,1,2,1360000,136000,46000,0.531329933,1,2,0,120133.3333,0,0.4
164667,3,384,13817,2,365,0.145,0.038,338000,1,2,1300000,130000,39000,0.5,4,2,0,82333.33333,0,0.4
196000,3,384,13817,2,365,0.158,0.038,318000,1,2,1200000,120000,39000,0.5,2,1,0,98000,0,0.2
160333,3,384,13817,2,365,0.145,0.038,338000,1,2,1300000,130000,39000,0.5,4,3,0,80166.66667,0,0.6
164667,3,384,13817,2,365,0.106,0.056,338000,1,2,1300000,130000,39000,0.5,4,2,0,82333.33333,0,0.4
156000,3,384,13817,2,365,0.106,0.056,338000,1,2,1300000,130000,39000,0.5,4,4,0,78000,0,0.8
69844,3,678,9271,10,235,0.909,0.051,153764,0,3,450000,45000,26000,0.461745256,3,2,0,32250,0,0.4
101312,3,420,8204,14,568,0.345,0.051,207336,0,3,750000,75000,35000,0.530538665,3,2,0,53750,0,0.4
103668,3,420,8204,14,568,0.345,0.051,207336,0,3,750000,75000,35000,0.530538665,3,1,0,55000,0,0.2
119463,3,0,32650,31,515,0.003,0.051,200043,0,3,941682.1621,78473.51351,39790.86766,0.591195187,1,1,0,70626.16216,0,0.2
122616,3,561,8119,26,239,0.089,0.051,216381,1,3,850000,85000,35000,0.554577057,2,2,0,68000,0,0.4
125170,3,561,8119,26,239,0.044,0.051,216381,1,3,850000,85000,35000,0.554577057,2,1,0,69416.66667,0,0.2
145551,3,97,7983,20,217,0.111,0.027,257817,1,1,880000,88000,38000,0.488718726,2,1.5,0,71133.33333,0,0.3
144050,3,97,7983,20,217,0.138,0.027,257817,1,1,880000,88000,38000,0.488718726,2,2,0,70400,0,0.4
135536,3,708,12245,25,294,0.049,0.027,244795,1,1,800000,80000,38000,0.482035571,2,1,0,65333.33333,0,0.2
139494,3,373,13585,25,381,0.042,0.022,250113,0,2,840000,84000,39000,0.491777524,2,1,0,68600,0,0.2
154320,3,390,10424,21,275,0.166,0.056,273275,1,2,960000,96000,40000,0.497666763,2,2,0,76800,0,0.4
93437,3,443,5943,13,122,0.561,0.051,254828,1,3,760000,76000,38000,0.447360682,5,2,0,41800,0,0.4
101708,3,406,5923,3,205,0.124,0.051,206427,1,3,770000,77000,35000,0.542565026,3,2,0,55183.33333,0,0.4
79752,3,251,4579,17,146,0.016,0.091,168115,1,4,730000,73000,36000,0.648365781,3.3,1,0,51708.33333,0,0.2
98041,3,350,11051,27,253,0.048,0.097,230439,1,1,720000,72000,38000,0.477350403,4,1,0,46800,0,0.2
201026,3,0,64316,19,722,0.003,0.027,343984,1,1,1170000,117000,46500,0.475312706,2,1,0,95550,0,0.2
132517,3,202,14713,21,414,0.054,0.027,210099,0,1,750000,75000,34000,0.518802466,1,0,0,68750,0,0
132517,3,202,14713,21,414,0.027,0.027,210099,0,1,750000,75000,34000,0.518802466,1,0,0,68750,0,0
132517,3,202,14713,21,414,0.204,0.027,210099,0,1,750000,75000,34000,0.518802466,1,0,0,68750,0,0
192820,3,0,64316,19,722,0.003,0.038,343984,1,1,1170000,117000,46500,0.475312706,2,3,0,91650,0,0.6
166893,3,263,16466,2,305,0.084,0.026,322237,1,2,1280000,128000,45000,0.536872325,3,3,0,89600,0,0.6
166893,3,263,16466,2,305,0.069,0.026,322237,1,2,1280000,128000,45000,0.536872325,3,3,0,89600,0,0.6
166893,3,263,16466,2,305,0.084,0.026,322237,1,2,1280000,128000,45000,0.536872325,3.2,2,0,89600,0,0.4
166893,3,263,16466,2,305,0.032,0.026,322237,1,2,1280000,128000,45000,0.536872325,3.2,2,0,89600,0,0.4
123253,3,10,7557,29,193,0.236,0.026,216261,1,2,984000,82000,35500,0.543325001,2,1,0,66966.66667,0,0.2
156144,3,147,13069,17,249,0.024,0.026,281927,0,2,900000,90000,40000,0.461111858,2,2,0,72000,0,0.4
166893,3,263,16466,2,305,0.084,0.026,322237,1,2,1280000,128000,45000,0.536872325,3,3,0,89600,0,0.6
166893,3,263,16466,2,305,0.069,0.026,322237,1,2,1280000,128000,45000,0.536872325,3,3,0,89600,0,0.6
110611,3,350,11051,27,253,0.016,0.08,230439,1,2,720000,72000,38000,0.477350403,3,1,0,52800,0,0.2
170866,3,263,16466,2,305,0.136,0.038,322237,1,2,1280000,128000,45000,0.536872325,3,2,0,91733.33333,0,0.4
170866,3,263,16466,2,305,0.065,0.038,322237,1,2,1280000,128000,45000,0.536872325,3,2,0,91733.33333,0,0.4
174840,3,263,16466,2,305,0.012,0.038,322237,1,2,1280000,128000,45000,0.536872325,3,1,0,93866.66667,0,0.2
170178,3,263,16466,2,305,0.069,0.038,322237,1,2,1280000,128000,45000,0.536872325,2.5,3,400000,91364,1.673125,0.934625
